timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
362153594,362153463,0.00481659,-0.000238026,-8.60284e-05,0.433938,0.0,0.0,0.0,-1.0
362256026,362255878,0.00355306,-0.01787,-0.00364379,0.509729,0.0,0.0,0.0,-1.0
362357598,362357441,0.0134428,0.045533,0.0284104,0.587797,0.0,0.0,0.0,-1.0
362459264,362459062,0.0260209,-0.0483201,0.00435136,0.66397,0.0,0.0,0.0,-1.0
362560832,362560677,-0.00802841,0.0824978,0.000867016,0.743623,0.0,0.0,0.0,-1.0
363961626,363961477,-0.0942419,-0.0521291,-0.201965,0.265677,0.0,0.0,0.0,-1.0
364063222,364063069,0.063697,0.0468706,-0.0210647,0.263935,0.0,0.0,0.0,-1.0
364164807,364164652,0.00355016,-0.00805763,-0.0583906,0.267796,0.0,0.0,0.0,-1.0
364266432,364266280,0.0523682,0.0258074,-0.169495,0.275039,0.0,0.0,0.0,-1.0
364368032,364367882,0.197466,0.13347,0.034783,0.273992,0.0,0.0,0.0,-1.0
364469612,364469462,0.0410257,-0.0904864,-0.0892193,0.273446,0.0,0.0,0.0,-1.0
364572021,364571880,0.111845,0.0675913,-0.0383024,0.276275,0.0,0.0,0.0,-1.0
364673623,364673477,-0.0798632,-0.0399185,-0.11154,0.280011,0.0,0.0,0.0,-1.0
364775216,364775064,0.0602577,0.0812243,0.0378794,0.276153,0.0,0.0,0.0,-1.0
364876827,364876682,0.129337,0.0563438,-0.0742988,0.278406,0.0,0.0,0.0,-1.0
364978438,364978277,-0.327364,-0.0779381,-0.175901,0.299234,0.0,0.0,0.0,-1.0
365080815,365080662,0.0423604,-0.0127415,-0.0566076,0.304394,0.0,0.0,0.0,-1.0
365182417,365182255,-0.00885655,-0.015656,-0.0796298,0.314261,0.0,0.0,0.0,-1.0
365284026,365283881,-0.131099,0.0481809,-0.0325595,0.316747,0.0,0.0,0.0,-1.0
365385627,365385480,0.10793,0.0867722,-0.0545592,0.315892,0.0,0.0,0.0,-1.0
365487229,365487072,-0.00693158,-0.0375899,-0.100846,0.31797,0.0,0.0,0.0,-1.0
365585625,365585479,0.0803828,0.102698,-0.00603835,0.318462,0.0,0.0,0.0,-1.0
365687186,365687040,0.186887,-0.00880147,-0.0925633,0.325011,0.0,0.0,0.0,-1.0
365788827,365788680,0.00291024,-0.0274141,-0.0863027,0.330514,0.0,0.0,0.0,-1.0
365890430,365890281,-0.0539214,0.0767367,-0.061943,0.334938,0.0,0.0,0.0,-1.0
365992029,365991882,0.0475346,0.0292132,-0.0160544,0.340591,0.0,0.0,0.0,-1.0
366093627,366093480,0.283952,7.97696e-05,-0.00407403,0.347719,0.0,0.0,0.0,-1.0
366196012,366195882,0.086257,0.0317701,-0.053556,0.347186,0.0,0.0,0.0,-1.0
366297607,366297478,0.154718,0.062541,-0.0343873,0.355131,0.0,0.0,0.0,-1.0
366399268,366399076,0.0724111,0.0573085,-0.0838353,0.364312,0.0,0.0,0.0,-1.0
366501633,366501478,0.151646,0.0768903,0.0585382,0.366112,0.0,0.0,0.0,-1.0
366603239,366603081,-0.00937125,-0.0291952,-0.116273,0.362127,0.0,0.0,0.0,-1.0
366704822,366704676,0.0204773,0.00491,-0.104134,0.346629,0.0,0.0,0.0,-1.0
366806403,366806257,0.0352042,-0.0131113,-0.0306883,0.336715,0.0,0.0,0.0,-1.0
