timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
362153463,0.0018813,-0.00209879,0.00140267,4000,0,-0.0589635,-0.0217894,-9.77462,4000
362157464,0.00178029,-0.00231346,0.00128999,4001,0,-0.0364738,-0.0171972,-9.76094,4001
362161463,0.000386424,-0.00327258,0.000231084,3999,0,-0.115363,0.0178638,-9.77901,3999
362165461,0.000380611,0.00395527,0.00761882,3998,0,0.0292451,-0.0779368,-9.62836,3998
362170235,-0.00647212,0.00865821,0.0114242,4774,0,-0.00906405,0.0446946,-9.66663,4774
362174283,0.0176015,-0.0206402,0.0156999,4048,0,-0.0667289,-0.25819,-10.2724,4048
362178283,-0.0432263,0.0123448,-0.0116149,4000,0,0.455831,-0.0692541,-10.1801,4000
362182284,0.0137709,-0.0269103,-0.0117046,4001,0,-0.512498,1.00267,-9.72465,4001
362186284,0.0534779,-0.00337149,-0.0195431,4000,0,0.733505,-1.05049,-8.94856,4000
362190285,-0.0150059,0.00165074,-0.0449874,4001,0,-1.63766,0.587811,-9.68551,4001
362194236,-0.0461932,-0.0231657,-0.00609634,3951,0,1.51359,-0.350312,-9.01416,3951
362198235,0.0111198,0.00689202,-0.0484881,3999,0,-1.05522,-0.278002,-11.5657,3999
362202283,0.0376215,0.0217951,-0.0401956,4048,0,-0.398474,-0.0298619,-10.5785,4048
362206282,-0.0220303,-0.0236946,0.00422876,3999,0,1.09561,-0.0986984,-8.71657,3999
362210234,0.0201415,-0.00594909,-0.0136006,3952,0,-0.83653,0.606049,-9.28834,3952
362214235,-0.0152325,0.0170707,0.0128519,4001,0,-0.0112546,-1.2426,-9.21339,4001
362219082,-0.0293862,0.00948382,0.0439992,4847,0,0.415458,0.557192,-10.4344,4847
362223082,0.017138,-0.00155663,0.0413685,4000,0,-0.369163,0.428742,-11.4451,4000
362227081,-0.0176889,0.00689457,0.0408771,3999,0,-0.027358,-0.976832,-9.41064,3999
362231080,-0.0159411,0.0206005,0.0583194,3999,0,-0.0789377,-0.0350566,-9.09992,3999
362235079,-0.00259993,0.0030414,0.0327713,3999,0,-0.561633,0.102199,-9.3441,3999
362239081,-0.0517507,0.0271947,0.0368795,4002,0,-0.0432776,-0.348375,-9.76567,4002
362243086,-0.00723148,0.0328501,0.00435696,4005,0,-0.375753,0.612195,-9.97762,4005
362247079,0.0277463,-0.00384558,0.0132603,3993,0,0.0318734,0.400818,-9.60928,3993
362251080,0.00570159,0.0319003,0.0142395,4001,0,-0.825083,-0.908926,-9.83752,4001
362255878,-0.0134893,0.0702359,0.0128439,4798,0,0.696973,0.59937,-9.21132,4798
362259881,0.0156562,-0.0116738,0.0165707,4003,0,1.1908,0.0737098,-9.40712,4003
362263883,-0.012128,-0.00556197,0.00275799,4002,0,-0.498478,-0.167651,-11.3123,4002
362267879,-0.0233331,0.0391218,-0.0405771,3996,0,0.262363,0.422865,-10.7566,3996
362271881,-0.00810046,-0.00840141,-0.0376006,4002,0,0.238491,-0.309989,-10.0754,4002
362275881,0.0257351,0.0334458,-0.0357704,4000,0,-1.93376,0.342917,-9.57044,4000
362279879,0.0194847,0.0646454,-0.0254751,3998,0,0.531623,-0.703133,-8.22904,3998
362283880,0.0288492,-0.0388772,0.0144927,4001,0,1.17621,-0.837085,-8.10129,4001
362287876,-0.0232695,-0.0282312,0.0238069,3996,0,-0.932971,-0.371476,-10.4093,3996
362291883,-0.0859366,0.0691709,-0.0354938,4007,0,0.0477608,1.27712,-11.4738,4007
362295880,0.0327177,-0.0478475,-0.0039443,3997,0,2.52629,0.569909,-10.8927,3997
362300677,0.0196144,-0.0292572,-0.0114187,4797,0,-3.06057,-0.70545,-9.96484,4797
362304676,-0.0481585,0.151123,-0.000402416,3999,0,1.39707,0.14262,-7.45743,3999
362308676,0.0754535,-0.0984125,0.0782695,4000,0,4.00797,-0.61302,-6.73875,4000
362312676,-0.0866956,-0.143503,0.00863372,4000,0,-3.37573,-1.54985,-10.5731,4000
362316646,-0.126507,0.11536,-0.0208751,3970,0,-0.40167,3.37397,-13.2656,3970
362320678,0.131422,-0.0721633,0.0182131,4032,0,2.06347,-1.17668,-11.1399,4032
362324677,-0.0427055,-0.049153,-0.0263514,3999,0,-3.68495,-1.90214,-9.83197,3999
362328679,-0.0650003,0.0739803,0.0606099,4002,0,3.53659,3.51566,-6.94315,4002
362332677,0.176613,-0.155866,0.0425562,3998,0,0.789205,-4.80059,-7.52479,3998
362336678,-0.197617,-0.0618008,-0.0651325,4001,0,-2.62957,2.45248,-10.2975,4001
362341480,0.020616,-0.0286325,0.00389642,4802,0,1.10698,2.48626,-12.4303,4802
362345477,0.0678559,0.00044586,-0.029652,3997,0,-1.88208,-5.63404,-11.0168,3997
