timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
362154762,0.00209991,-0.00128825,-0.179013,0.0,0.995996,0.000988178,-0.000735398,-0.0893861,0.437329,-1.0,1,0,0,0,0,0,0
362257190,0.00150846,-0.00246844,-0.179013,0.0,0.995996,0.000640888,-0.0012967,-0.0893859,0.513982,-1.0,1,0,0,0,0,0,0
362358614,0.00515928,-0.00493161,-0.179013,0.0,0.995991,0.00234889,-0.00268651,-0.08938,0.5917,-1.0,1,0,0,0,0,0,0
362460055,0.00453985,-0.00380888,-0.179013,0.0,0.995993,0.0020906,-0.00209971,-0.0893822,0.667859,-1.0,1,0,0,0,0,0,0
363962704,0.0774184,0.032342,-0.179013,0.0,0.995065,0.0399839,0.0126347,-0.0899315,0.265835,-1.0,1,0,0,0,0,0,0
364064383,-0.0112021,0.0163394,-0.179013,0.0,0.995952,-0.00484817,0.00863741,-0.0893369,0.261282,-1.0,1,0,0,0,0,0,0
364165597,0.0229322,-0.0612427,-0.179013,0.0,0.995496,0.00867804,-0.0315164,-0.0889894,0.268323,-1.0,1,0,0,0,0,0,0
364267623,0.0317719,0.029991,-0.179013,0.0,0.995738,0.0171601,0.0135132,-0.0896028,0.272977,-1.0,1,0,0,0,0,0,0
364369041,-0.0301239,0.00101421,-0.179013,0.0,0.995885,-0.0149558,0.00185131,-0.0893691,0.27582,-1.0,1,0,0,0,0,0,0
364470786,0.0725536,0.0175761,-0.179013,0.0,0.995275,0.0369072,0.00550517,-0.089642,0.274044,-1.0,1,0,0,0,0,0,0
364573079,0.0371397,0.00158881,-0.179013,0.0,0.995824,0.0185654,-0.000868713,-0.0893861,0.275719,-1.0,1,0,0,0,0,0,0
364674398,-0.0199904,-0.0398341,-0.179013,0.0,0.995732,-0.0117332,-0.0189418,-0.0895629,0.280787,-1.0,1,0,0,0,0,0,0
364776293,0.0415167,0.0168477,-0.179013,0.0,0.995731,0.0214258,0.00653292,-0.0895386,0.276074,-1.0,1,0,0,0,0,0,0
364877966,-0.0220335,-0.0418281,-0.179013,0.0,0.995698,-0.0128392,-0.019843,-0.0895913,0.283361,-1.0,1,0,0,0,0,0,0
364979427,0.225528,0.0954511,-0.179013,0.0,0.988065,0.116184,0.0371679,-0.0940648,0.297196,-1.0,1,0,0,0,0,0,0
365081979,0.0126953,0.0115621,-0.179013,0.0,0.995957,0.00683884,0.00519038,-0.0894201,0.308832,-1.0,1,0,0,0,0,0,0
365183214,0.136966,-0.00384175,-0.179013,0.0,0.993672,0.0679842,-0.00802539,-0.0890463,0.315653,-1.0,1,0,0,0,0,0,0
365284804,0.0827544,0.00167872,-0.179013,0.0,0.995141,0.0412747,-0.00286224,-0.0893449,0.320359,-1.0,1,0,0,0,0,0,0
365386718,-0.0105302,-0.0344155,-0.179013,0.0,0.995828,-0.00678126,-0.0166672,-0.0894626,0.316566,-1.0,1,0,0,0,0,0,0
365488031,0.155072,-0.00712649,-0.179013,0.0,0.993023,0.0768301,-0.010462,-0.0888428,0.318686,-1.0,1,0,0,0,0,0,0
365586830,-0.0224942,0.00442343,-0.179013,0.0,0.995934,-0.0110041,0.00320804,-0.0893562,0.324286,-1.0,1,0,0,0,0,0,0
365688084,-0.00189191,0.0177194,-0.179013,0.0,0.995958,-0.000150201,0.00890865,-0.089375,0.323509,-1.0,1,0,0,0,0,0,0
365789614,0.128991,-0.00330425,-0.179013,0.0,0.993934,0.0640451,-0.00740312,-0.0890948,0.330287,-1.0,1,0,0,0,0,0,0
365891415,0.0828549,-0.00561748,-0.179013,0.0,0.995149,0.0409988,-0.00649709,-0.0891939,0.334874,-1.0,1,0,0,0,0,0,0
365992797,-0.0293453,-0.000860101,-0.179013,0.0,0.995889,-0.0146518,0.000883214,-0.0893835,0.343714,-1.0,1,0,0,0,0,0,0
366094410,-0.107926,-0.00692379,-0.179013,0.0,0.994525,-0.0540297,0.00137821,-0.0894422,0.347466,-1.0,1,0,0,0,0,0,0
366197234,0.00326723,-0.0160346,-0.179013,0.0,0.995965,0.000910389,-0.00813114,-0.0893708,0.352709,-1.0,1,0,0,0,0,0,0
366298415,0.00763385,-0.0164164,-0.179013,0.0,0.995959,0.00306782,-0.00851638,-0.089352,0.354651,-1.0,1,0,0,0,0,0,0
366400114,0.0148573,-0.0155748,-0.179013,0.0,0.995944,0.00670254,-0.00841991,-0.0893241,0.361488,-1.0,1,0,0,0,0,0,0
366502415,-0.0232459,-0.0527067,-0.179013,0.0,0.995557,-0.0139274,-0.0252045,-0.0896548,0.368232,-1.0,1,0,0,0,0,0,0
366604111,0.0358594,-0.0132012,-0.179013,0.0,0.995826,0.0172667,-0.00817563,-0.0892527,0.358928,-1.0,1,0,0,0,0,0,0
366705925,0.0853534,-0.0208996,-0.179013,0.0,0.995076,0.0415574,-0.0142117,-0.0888566,0.345397,-1.0,1,0,0,0,0,0,0
366807226,0.0259035,-0.0258476,-0.179013,0.0,0.995845,0.0117434,-0.0140282,-0.0892052,0.33796,-1.0,1,0,0,0,0,0,0
366908777,0.0334683,-0.0119614,-0.179013,0.0,0.995849,0.0161316,-0.0074516,-0.0892731,0.329205,-1.0,1,0,0,0,0,0,0
367010661,0.0425861,0.0220098,-0.179013,0.0,0.99569,0.0221884,0.00905507,-0.0895946,0.323147,-1.0,1,0,0,0,0,0,0
367108398,-0.0134606,0.0212635,-0.179013,0.0,0.995925,-0.00575265,0.0111903,-0.0893085,0.319892,-1.0,1,0,0,0,0,0,0
367210619,0.121224,0.00718893,-0.179013,0.0,0.994142,0.0606529,-0.00184108,-0.089439,0.251723,-1.0,1,0,0,0,0,0,0
367311983,-0.07216,0.0667271,-0.179013,0.0,0.994902,-0.032928,0.0364248,-0.0880805,0.196564,-1.0,1,0,0,0,0,0,0
367413862,0.293748,0.13813,-0.179013,0.0,0.982022,0.151515,0.0549438,-0.0982726,0.160815,-1.0,1,0,0,0,0,0,0
367515265,0.175864,-0.0424238,-0.179013,0.0,0.992092,0.085559,-0.0288919,-0.0871663,0.135964,-1.0,1,0,0,0,0,0,0
367617987,-0.0166577,0.0975075,-0.179013,0.0,0.994815,-0.00392947,0.0492813,-0.0888733,0.129661,-1.0,1,0,0,0,0,0,0
367720223,-0.0264817,0.020172,-0.179013,0.0,0.995871,-0.0122853,0.0112281,-0.0892415,0.12788,-1.0,1,0,0,0,0,0,0
367820939,0.0170626,-0.157512,0.0170983,0.0,0.996822,0.00917699,-0.078596,0.00919341,0.124753,1.0,1,0,0,0,0,0,0
367922691,-0.0305605,-0.319522,0.0175037,0.0,0.987134,-0.0136924,-0.15919,0.00620867,0.129371,1.0,1,0,0,0,0,0,0
368024335,-0.0133082,-0.475515,0.0180518,0.0,0.971822,-0.00434084,-0.235567,0.00720458,0.152474,1.0,1,0,0,0,0,0,0
368126467,0.0984675,-0.624955,0.0184626,0.0,0.950242,0.049663,-0.306599,0.0239021,0.173587,1.0,1,0,0,0,0,0,0
368229074,-0.0147147,-0.585424,0.0190499,0.0,0.957416,-0.00429571,-0.288596,0.00699656,0.183784,1.0,1,0,0,0,0,0,0
368330107,0.113765,-0.590022,0.0196019,0.0,0.955043,0.0572383,-0.289733,0.0258912,0.205379,1.0,1,0,0,0,0,0,0
368431266,0.0798371,-0.598121,0.0201805,0.0,0.954685,0.0411051,-0.293988,0.0213917,0.228277,1.0,1,0,0,0,0,0,0
368533209,0.0846485,-0.525826,0.0202181,0.0,0.964612,0.0434805,-0.259236,0.0207487,0.232016,1.0,1,0,0,0,0,0,0
368631573,0.0520978,-0.503882,0.0196372,0.0,0.967991,0.0276692,-0.24894,0.0159978,0.244468,1.0,1,0,0,0,0,0,0
368732898,-0.0162761,-0.649135,0.0181566,0.0,0.947742,-0.00481782,-0.318945,0.00600881,0.272231,1.0,1,0,0,0,0,0,0
368834458,0.0372483,-0.42003,0.015153,0.0,0.977801,0.0197926,-0.208295,0.011291,0.243555,1.0,1,0,0,0,0,0,0
368936356,-0.0955285,-0.430918,0.0113379,0.0,0.975806,-0.0454308,-0.213813,-0.00467621,0.245507,1.0,1,0,0,0,0,0,0
369037595,0.0341491,-0.219927,0.00205992,0.0,0.993813,0.0170836,-0.109709,0.00289729,0.224373,1.0,1,0,0,0,0,0,0
369140338,-0.136836,-0.303805,-0.00618842,0.0,0.986136,-0.0680442,-0.150755,-0.0133962,0.217404,1.0,1,0,0,0,0,0,0
369241942,0.127618,-0.265766,-0.0145672,0.0,0.989202,0.0622391,-0.13268,0.00124362,0.204123,1.0,1,0,0,0,0,0,0
369343483,0.0294713,-0.324535,-0.0269707,0.0,0.986699,0.0123619,-0.16172,-0.010926,0.175355,1.0,1,0,0,0,0,0,0
369444871,0.038931,-0.302819,-0.0370604,0.0,0.988257,0.0164441,-0.151134,-0.0153783,0.164566,1.0,1,0,0,0,0,0,0
369546718,0.0451412,-0.265619,-0.0509657,0.0,0.990696,0.0189895,-0.132913,-0.0222617,0.156718,1.0,1,0,0,0,0,0,0
369650673,0.00897058,-0.246371,-0.0644183,0.0,0.991915,0.000492025,-0.122953,-0.0314084,0.156388,1.0,1,0,0,0,0,0,0
369754487,-0.178929,-0.280683,-0.0816559,0.0,0.984876,-0.0940796,-0.135595,-0.052741,0.166903,1.0,1,0,0,0,0,0,0
369856035,-0.284832,-0.361455,-0.10131,0.0,0.971213,-0.148453,-0.170628,-0.0747837,0.1779,1.0,1,0,0,0,0,0,0
369957961,-0.222577,-0.328528,-0.124222,0.0,0.977418,-0.11944,-0.155401,-0.078983,0.159841,1.0,1,0,0,0,0,0,0
370059290,-0.11192,-0.244236,-0.146594,0.0,0.987839,-0.0642717,-0.117232,-0.0793672,0.154357,1.0,1,0,0,0,0,0,0
370156850,-0.156361,-0.27965,-0.178807,0.0,0.982301,-0.0894351,-0.131484,-0.0989846,0.17641,1.0,1,0,0,0,0,0,0
370259514,-0.0676814,-0.20247,-0.216902,0.0,0.988099,-0.0443958,-0.0967675,-0.111022,0.165329,1.0,1,0,0,0,0,0,0
370361073,-0.0677184,-0.137893,-0.267197,0.0,0.987857,-0.0426426,-0.0637402,-0.13512,0.152332,1.0,1,0,0,0,0,0,0
370462426,-0.144629,-0.181835,-0.331715,0.0,0.978554,-0.0859162,-0.077433,-0.170457,0.159591,1.0,1,0,0,0,0,0,0
370564085,-0.162995,-0.296616,-0.377007,0.0,0.966024,-0.106685,-0.129578,-0.196533,0.175361,1.0,1,0,0,0,0,0,0
370666441,-0.331555,0.726,-0.377007,0.0,0.916667,-0.0859074,0.372916,-0.115219,0.154641,1.0,1,0,0,0,0,0,0
370769397,-0.374391,0.707894,-0.377007,0.0,0.917386,-0.107661,0.367227,-0.109341,0.156884,1.0,1,0,0,0,0,0,0
370870012,-0.31746,0.731313,-0.377007,0.0,0.916405,-0.0788387,0.374474,-0.117284,0.201857,1.0,1,0,0,0,0,0,0
370971324,-0.272996,0.628252,-0.377007,0.0,0.933409,-0.0697617,0.32494,-0.135262,0.208688,1.0,1,0,0,0,0,0,0
371074032,-0.304776,0.365878,-0.377007,0.0,0.959876,-0.112927,0.204598,-0.155001,0.199934,1.0,1,0,0,0,0,0,0
371176798,-0.23626,0.274045,-0.377007,0.0,0.969314,-0.0892649,0.155117,-0.168526,0.278309,1.0,1,0,0,0,0,0,0
371281234,-0.174389,0.21614,-0.377007,0.0,0.974605,-0.0649076,0.12177,-0.176362,0.323387,1.0,1,0,0,0,0,0,0
371382440,-0.217153,0.163193,-0.377007,0.0,0.974908,-0.0909064,0.0998293,-0.17699,0.337414,1.0,1,0,0,0,0,0,0
371484308,-0.105421,0.276177,-0.377007,0.0,0.972943,-0.0255018,0.144803,-0.178224,0.291149,1.0,1,0,0,0,0,0,0
371583533,-0.125622,0.220508,-0.377007,0.0,0.97569,-0.0407054,0.119559,-0.1791,0.254216,1.0,1,0,0,0,0,0,0
371684075,-0.115245,0.196756,-0.377007,0.0,0.976974,-0.0379222,0.107059,-0.180617,0.231151,1.0,1,0,0,0,0,0,0
371786022,0.0,-0.0,-0.377007,0.0,0.982286,0.0,-0.0,-0.187389,0.12,1.0,1,0,0,0,0,0,0
371887333,-0.0250255,0.251909,-0.377007,0.0,0.974723,0.0113449,0.125713,-0.184346,0.234147,1.0,1,0,0,0,0,0,0
371989078,0.143841,0.092262,-0.377007,0.0,0.978083,0.0791295,0.0317295,-0.189961,0.236052,1.0,1,0,0,0,0,0,0
372090455,0.101694,0.197322,-0.377007,0.0,0.975307,0.0681162,0.0871535,-0.191154,0.231324,1.0,1,0,0,0,0,0,0
372194383,0.0248636,0.191958,-0.377007,0.0,0.977466,0.0301115,0.0918081,-0.187682,0.22666,1.0,1,0,0,0,0,0,0
372294694,-0.0480773,0.0347239,-0.377007,0.0,0.981932,-0.0203546,0.0215521,-0.186897,0.209894,1.0,1,0,0,0,0,0,0
372396033,0.0821622,0.122382,-0.377007,0.0,0.97915,0.0517162,0.0523373,-0.189348,0.207422,1.0,1,0,0,0,0,0,0
372497671,0.269973,0.136446,-0.377007,0.0,0.969367,0.144543,0.0411937,-0.194264,0.211053,1.0,1,0,0,0,0,0,0
372600429,0.25007,0.116368,-0.377007,0.0,0.971609,0.133105,0.0333458,-0.192735,0.222946,1.0,1,0,0,0,0,0,0
372701616,0.20345,0.0551528,-0.377007,0.0,0.976312,0.104853,0.0079224,-0.1891,0.22436,1.0,1,0,0,0,0,0,0
372804346,0.0395665,-0.380905,-0.898576,0.0,0.885923,-0.0647064,-0.178919,-0.423015,0.203482,1.0,1,0,0,0,0,0,0
372905114,0.0343327,-0.259875,-0.895764,0.0,0.894599,-0.0407621,-0.124146,-0.427339,0.218825,1.0,1,0,0,0,0,0,0
373007809,0.0396805,-0.242821,-0.892858,0.0,0.896216,-0.0345168,-0.117724,-0.426317,0.222157,1.0,1,0,0,0,0,0,0
373108035,0.231742,-0.0429563,-0.890338,0.0,0.897348,0.0951342,-0.0690257,-0.425383,0.204667,1.0,1,0,0,0,0,0,0
373210707,0.217918,0.0081099,-0.887659,0.0,0.897562,0.0999378,-0.0430538,-0.427249,0.223354,1.0,1,0,0,0,0,0,0
373312263,0.137457,0.0872333,-0.885422,0.0,0.89932,0.0806295,0.00991479,-0.429679,0.235004,1.0,1,0,0,0,0,0,0
373413694,0.126171,-0.0293963,-0.882892,0.0,0.902635,0.0507267,-0.0401945,-0.425514,0.236739,1.0,1,0,0,0,0,0,0
373515270,0.186026,-0.0269644,-0.880913,0.0,0.901099,0.0782835,-0.0517378,-0.423338,0.233464,1.0,1,0,0,0,0,0,0
373616851,0.0707013,-0.158042,-0.878854,0.0,0.902795,-0.00167549,-0.0863834,-0.421304,0.23048,1.0,1,0,0,0,0,0,0
373719539,-0.025031,-0.335751,-0.876955,0.0,0.891713,-0.0821055,-0.146031,-0.420454,0.236904,1.0,1,0,0,0,0,0,0
373820839,0.0295685,-0.407812,-0.875553,0.0,0.888105,-0.0727218,-0.189517,-0.412388,0.241214,1.0,1,0,0,0,0,0,0
373922437,-0.0840764,-0.44984,-0.874261,0.0,0.878402,-0.131449,-0.184535,-0.420806,0.243599,1.0,1,0,0,0,0,0,0
